,Absolute path,label
0,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0000.jpg,0
1,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0001.jpg,0
2,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0002.jpg,0
3,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0003.jpg,0
4,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0004.jpg,0
5,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0005.jpg,0
6,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0006.jpg,0
7,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0007.jpg,0
8,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0008.jpg,0
9,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0009.jpg,0
10,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0010.jpg,0
11,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0011.jpg,0
12,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0012.jpg,0
13,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0013.jpg,0
14,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0014.jpg,0
15,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0015.jpg,0
16,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0016.jpg,0
17,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0017.jpg,0
18,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0018.jpg,0
19,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0019.jpg,0
20,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0020.jpg,0
21,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0021.jpg,0
22,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0022.jpg,0
23,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0023.jpg,0
24,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0024.jpg,0
25,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0025.jpg,0
26,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0026.jpg,0
27,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0027.jpg,0
28,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0028.jpg,0
29,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0029.jpg,0
30,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0030.jpg,0
31,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0031.jpg,0
32,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0032.jpg,0
33,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0033.jpg,0
34,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0034.jpg,0
35,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0035.jpg,0
36,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0036.jpg,0
37,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0037.jpg,0
38,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0038.jpg,0
39,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0039.jpg,0
40,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0040.jpg,0
41,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0041.jpg,0
42,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0042.jpg,0
43,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0043.jpg,0
44,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0044.jpg,0
45,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0045.jpg,0
46,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0046.jpg,0
47,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0047.jpg,0
48,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0048.jpg,0
49,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0049.jpg,0
50,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0050.jpg,0
51,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0051.jpg,0
52,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0052.jpg,0
53,C:\Users\Professional\PycharmProjects\lab3/dataset/cat/0053.jpg,0
